2nd related event ID;Away Score;Away Team ID;Away Team Name;Competition ID;Competition Name;Date Time;Direction of Team Play;Event ID;Filename;Formation change;Formation slot;Frame ID;Half ID;Half Name;Home Score;Home Team ID;Home Team Name;Injured PlayerID;Injury;Involved;Key Pass;Kick off;Match Date;Match Day;Match ID;Match Name;Match Time;Opposite related event ID;Opposition ID;Opposition Name;Opposition Type;Period Class;Period ID;Period Name;Period Type;Player ID;Player Name;Right away score;Right home score;Season ID;Season Name;Shirt Number;Team formation;Team ID;Team Name;Team player formation;Team Type;Third - Length;Third - Width;Type Description;Type ID;Type Name;Unique ID;Version;Zone;2Nd Assist;50/50;6-Seconds Violation;Added time minutes;Aerial duel;Aerial Duel - Lost;Aerial Duel - Won;Aerial Foul;Angle;Argument;Assist;Attacking Pass;Attempted Tackle;Away Team Possession;Back pass;Ball hits post;Ball hits woodwork;Ball kicked out for fair play;Ball out of play;Ball put out of play from challenge;Ball Recoveries - Attacking;Ball Recoveries - Defending;Ball Recoveries - Middle;Ball recovery;Ball shielding;Big Chance;Big Chance Assist;Block by hand;Blocked Pass;Blocked Pass (Q);Blocked x co-ordinate;Blocked y co-ordinate;Card;Caught offside;Challenge (Unsuccessful);Chance missed;Chipped;Clearance;Clock affecting;Contentious offside decision;Corner;Corner - Inswinger;Corner - Outswinger;Corner - Straight;Corner awarded;Cross;Cross - Successful;Cross - Unsuccessul;Crowd interaction;Crowd Trouble;Dangerous play;Defender blocks cross;Defender blocks shot;Defensive duel;Delayed Start;Denied goal-scoring opp;Direct Ball;Dispossessed;Dissent;Dive;Drinks Break;Drop ball;Early end;Elbow/Violent Conduct;Encroachment;End;End cause;End of stoppage;End Type;Entering field;Error leading to goal;Error leading to shot;Error leading to shot or goal;Event from fast break;Event from open play;Excessive celebration;Failed to block;Fire;Flick-on;Follows shot blocked;Follows shot rebound;Foul;Foul (Q);Foul and abusive language;Foul Conceded;Foul Throw-In;Foul Throw-In (Q);Free kick;Free Kick - Blocked by wall;Free kick - Direct;Free kick - Indirect;Free Kick Won;Game end;GK 1 on 1;GK attempt to claim cross;GK attempts save from cross;GK ball hits bar after save;GK ball hits left post after save;GK ball hits right post after save;GK Both Arms;GK Both Legs;GK catches ball;GK cross claimed;GK cross not claimed;GK goal against;GK goal kick;GK hoof;GK kick from hands;GK Left Arm;GK Left Leg;GK low goal kick;GK Over-arm;GK penalty against;GK pick up;GK Punch;GK Punch (Q);GK Right Arm;GK Right Leg;GK save - catch;GK save - collected;GK save - deflected save;GK save - dive and catch;GK save - dive and deflect;GK save - diving;GK save - fingertip;GK save - parried danger;GK save - parried safe;GK save - reaching;GK save - shot was off target;GK save - standing;GK save - stooping;GK save - with feet;GK save - with hands;GK shot against (no need to save);GK shot saved;GK shot saved from on player;GK smother - challenged;GK smother - unchallenged;GK start of play;GK sweeper keeper;GK throw;GK X Coordinate;GK Y Coordinate;Goal;Goal (GK got a touch);Goal (Open Play);Goal (Set-Play);Goal Assist;Goal disallowed;Goal from dribble;Goal from solo run;Goal mouth y co-ordinate;Goal mouth z co-ordinate;Goalkeeper becomes outfield player;Good skill;Ground Duel;Ground Duel - Lost;Ground Duel - Won;Handball;Handling on the line;Head;Head pass;Home Team Possession;Injury time announcement;Intentional assist;Interception;Last line of defence;Launch;Lay-off;Leaving field;Left footed;Length;Loose ball touch;Match resumes on new date;Match resumes on new date (Q);Match suspended;Minute;No player on posts on corner;Not Retreating;Object thrown on pitch;Obstruction;Off the ball foul;Offensive duel;Offside Pass;Offside provoked;Other ball contact;Other ball contact type;Other body part;Other reason;Out of Play Seconds (Last 5 mins);Outcome;Outfield player becomes player;Overrun;Own Goal Attempt - Attacking Team;Own Goal Attempt - Defending Team;Pass;Pass - Attacking;Pass - Attacking Successful;Pass - Attacking Unsuccessful;Pass - Backwards;Pass - Backwards Successful;Pass - Backwards Unsuccessful;Pass - Defending;Pass - Defending Successful;Pass - Defending Unsuccessful;Pass - Forwards;Pass - Forwards Successful;Pass - Forwards Unsuccessful;Pass - Long;Pass - Long Successful;Pass - Long Unsuccessful;Pass - Medium;Pass - Medium Successful;Pass - Medium Unsuccessful;Pass - Middle;Pass - Middle Successful;Pass - Middle Unsuccessful;Pass - Short;Pass - Short Successful;Pass - Short Unsuccessful;Pass - Sideways;Pass - Sideways Successful;Pass - SIdeways Unsuccessful;Pass - Successful;Pass - Unsuccessful;Pass End X;Pass End Y;Penalty;Persistent infringement;Player changed position;Player changed shirt;Player off;Player off pitch;Player on;Player on bench booked;Player on both posts on corner;Player on far post on corner;Player on near post on corner;Player reitred;Player returns;Players caught offside;Possession;Possession Data;Postponed;Professional foul;Pull Back;Red card;Referee abuse;Rescinded card;Rescinded card (Q);Right footed;Save / Blocked shot;Second;Second yellow;Serious Foul;Set Play;Shirt Pull/Holding;Shot;Shot (Incuding Own Goals);Shot - 1 on 1 chip;Shot - 35+ Centre;Shot - 35+ Left;Shot - 35+ Right;Shot - back heel;Shot - Blocked Duel;Shot - Box Centre;Shot - Box Deep Left;Shot - Box Deep Right;Shot - Box Left;Shot - Box Right;Shot - Close high;Shot - Close left;Shot - Close left and high;Shot - Close right;Shot - Close right and high;Shot - dipping;Shot - High;Shot - High centre;Shot - High left;Shot - High Right;Shot - Inside Box;Shot - Left;Shot - lob;Shot - Low centre;Shot - Low left;Shot - Low right;Shot - Out Of Box Centre;Shot - Out Of Box Deep Left;Shot - Out Of Box Deep Right;Shot - Out Of Box Left;Shot - Out Of Box Right;Shot - Outside Box;Shot - overhead;Shot - Right;Shot - rising;Shot - scramble;Shot - Small Box Centre;Shot - Small Box Left;Shot - Small Box Right;Shot - swerved left;Shot - swerved moving;Shot - swerved right;Shot - volley;Shot 2nd assisted;Shot Assist;Shot assisted;Shot blocked;Shot blocked by own player;Shot blocked on 6-yard line;Shot blocked on goal line;Shot coming from set piece;Shot coming from throw in set piece;Shot deflected;Shot didn’t reach goal line;Shot directly from corner;Shot directly from free kick;Shot from corner;Shot from free kick;Shot from individual play;Shot missed;Shot Off Target;Shot Off Target - Inside Box;Shot Off Target - Outside Box;Shot off target saved by GK;Shot On Target;Shot On Target - Inside Box;Shot On Target - Outside Box;Shot out on sideline;Shot saved;Shove/push;Spectator on pitch;Spitting;Start;Start of stoppage;Strong shot;Switch of play;Tackle;Tactical;Take on;Tap;Temporary stop;Through ball;Through Ball - Successful;Through Ball - Unsuccessful;Through ball should have been blocked;Throw in;Time wasting;Turnover;Unsporting Behaviour;Violent conduct;Weak shot;Weather problem;X;Y;Yellow Card;Table Name
;4;t186;Real Madrid;23;Spanish La Liga;27/01/2018 15:46;;260;f24-23-2017-943000-eventdetails;;;626;1;First half;1;t191;Valencia CF;;;;;;27/01/2018;21;g943000;2018-01-27 Valencia CF v Real Madrid;15:15:00;;t186;Real Madrid;Away;1st Half;7;30-35;Normal Time;51952;Daniel Parejo;4;1;2017;Season 2017/2018;;;t191;Valencia CF;;Home;Middle;Central;Any pass attempted from one player to another - free kicks, corners, throw-ins, goal kicks and goal assists;1;Pass;1681541827;1,52E+12;Center;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21,5;;;;;30;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;1;1;;;;;;;;1;1;;1;1;;1;1;;1;;0,542;0,615;;;;;;;;;;;;;;;;;;;;;;;;;;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0,439;0,342;;Ejemplo final
;4;t186;Real Madrid;23;Spanish La Liga;27/01/2018 15:28;;128;f24-23-2017-943000-eventdetails;;;284;1;First half;1;t191;Valencia CF;;;;;;27/01/2018;21;g943000;2018-01-27 Valencia CF v Real Madrid;15:15:00;;t186;Real Madrid;Away;1st Half;3;oct-15;Normal Time;88754;Geoffrey Kondogbia;4;1;2017;Season 2017/2018;;;t191;Valencia CF;;Home;Middle;Central;Any pass attempted from one player to another - free kicks, corners, throw-ins, goal kicks and goal assists;1;Pass;1402012953;1,52E+12;Left;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23,8;;;;;13;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;1;1;;;;;;;;1;1;;1;1;;1;1;;1;;0,752;0,9;;;;;;;;;;;;;;;;;;;;;;;;;;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0,635;0,6;;Ejemplo final
;4;t186;Real Madrid;23;Spanish La Liga;27/01/2018 15:43;;247;f24-23-2017-943000-eventdetails;;;576;1;First half;1;t191;Valencia CF;;;;;;27/01/2018;21;g943000;2018-01-27 Valencia CF v Real Madrid;15:15:00;;t186;Real Madrid;Away;1st Half;6;25-30;Normal Time;56864;Francis Coquelin;4;1;2017;Season 2017/2018;;;t191;Valencia CF;;Home;Middle;Left;Any pass attempted from one player to another - free kicks, corners, throw-ins, goal kicks and goal assists;1;Pass;1623333995;1,52E+12;Back;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9,7;;;;;28;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;1;1;;;;;;;;1;1;;1;1;;1;1;;1;;0,436;0,742;;;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0,344;0,742;;Ejemplo final
;4;t186;Real Madrid;23;Spanish La Liga;27/01/2018 15:55;;325;f24-23-2017-943000-eventdetails;;;779;1;First half;1;t191;Valencia CF;;;;;;27/01/2018;21;g943000;2018-01-27 Valencia CF v Real Madrid;15:15:00;;t186;Real Madrid;Away;1st Half;9;40-45;Normal Time;88754;Geoffrey Kondogbia;4;1;2017;Season 2017/2018;;;t191;Valencia CF;;Home;Middle;Left;Any pass attempted from one player to another - free kicks, corners, throw-ins, goal kicks and goal assists;1;Pass;2011893887;1,52E+12;Back;;;;;;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,9;;;;;40;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;1;1;;;;;;;;1;1;;1;1;;1;1;;1;;0,48;0,809;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0,412;0,76;;Ejemplo final
;4;t186;Real Madrid;23;Spanish La Liga;27/01/2018 15:35;;173;f24-23-2017-943000-eventdetails;;;400;1;First half;1;t191;Valencia CF;;;;;;27/01/2018;21;g943000;2018-01-27 Valencia CF v Real Madrid;15:15:00;;t186;Real Madrid;Away;1st Half;5;20-25;Normal Time;51952;Daniel Parejo;4;1;2017;Season 2017/2018;;;t191;Valencia CF;;Home;Middle;Left;Any pass attempted from one player to another - free kicks, corners, throw-ins, goal kicks and goal assists;1;Pass;1820269516;1,52E+12;Center;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12,3;;;;;20;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;1;1;;;;;;;;1;1;;1;1;;1;1;;1;;0,536;0,706;;;;;;;;;;;;;;;;;;;;;;;;;;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0,42;0,678;;Ejemplo final
;4;t186;Real Madrid;23;Spanish La Liga;27/01/2018 15:46;;261;f24-23-2017-943000-eventdetails;;;627;1;First half;1;t191;Valencia CF;;;;;;27/01/2018;21;g943000;2018-01-27 Valencia CF v Real Madrid;15:15:00;;t186;Real Madrid;Away;1st Half;7;30-35;Normal Time;80954;Rodrigo Moreno Machado;4;1;2017;Season 2017/2018;;;t191;Valencia CF;;Home;Middle;Left;Any pass attempted from one player to another - free kicks, corners, throw-ins, goal kicks and goal assists;1;Pass;1528469399;1,52E+12;Center;;;;;;;;;0,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9,9;;;;;30;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;1;1;;;;;;;;1;1;;1;1;;1;1;;1;;0,611;0,779;;;;;;;;;;;;;;;;;;;;;;;;;;53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0,545;0,676;;Ejemplo final
;4;t186;Real Madrid;23;Spanish La Liga;27/01/2018 15:28;;121;f24-23-2017-943000-eventdetails;;;276;1;First half;1;t191;Valencia CF;;;;;;27/01/2018;21;g943000;2018-01-27 Valencia CF v Real Madrid;15:15:00;;t186;Real Madrid;Away;1st Half;3;oct-15;Normal Time;56864;Francis Coquelin;4;1;2017;Season 2017/2018;;;t191;Valencia CF;;Home;Middle;Left;Any pass attempted from one player to another - free kicks, corners, throw-ins, goal kicks and goal assists;1;Pass;1240196114;1,52E+12;Left;;;;;;;;;0,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14,1;;;;;13;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;1;1;;;;;;;;1;1;;1;1;;1;1;;1;;0,52;0,953;;;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0,416;0,821;;Ejemplo final
;4;t186;Real Madrid;23;Spanish La Liga;27/01/2018 15:35;;174;f24-23-2017-943000-eventdetails;;;401;1;First half;1;t191;Valencia CF;;;;;;27/01/2018;21;g943000;2018-01-27 Valencia CF v Real Madrid;15:15:00;;t186;Real Madrid;Away;1st Half;5;20-25;Normal Time;132105;JosÌ© Luis GayÌÁ PeÌ±a;4;1;2017;Season 2017/2018;;;t191;Valencia CF;;Home;Middle;Left;Any pass attempted from one player to another - free kicks, corners, throw-ins, goal kicks and goal assists;1;Pass;2008388850;1,52E+12;Left;;;;;;;;;0,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;20;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;1;1;;;;;;;;1;1;;1;1;;1;1;;1;;0,729;0,918;;;;;;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0,59;0,717;;Ejemplo final
;4;t186;Real Madrid;23;Spanish La Liga;27/01/2018 15:47;;272;f24-23-2017-943000-eventdetails;;;648;1;First half;1;t191;Valencia CF;;;;;;27/01/2018;21;g943000;2018-01-27 Valencia CF v Real Madrid;15:15:00;;t186;Real Madrid;Away;1st Half;7;30-35;Normal Time;221306;;4;1;2017;Season 2017/2018;;;t191;Valencia CF;;Home;Middle;Left;Any pass attempted from one player to another - free kicks, corners, throw-ins, goal kicks and goal assists;1;Pass;1645358996;1,52E+12;Left;;;;;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14,6;;;;;32;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;1;1;;;;;;;;1;1;;1;1;;1;1;;1;;0,767;0,935;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0,634;0,871;;Ejemplo final
;4;t186;Real Madrid;23;Spanish La Liga;27/01/2018 15:47;;267;f24-23-2017-943000-eventdetails;;;642;1;First half;1;t191;Valencia CF;;;;;;27/01/2018;21;g943000;2018-01-27 Valencia CF v Real Madrid;15:15:00;;t186;Real Madrid;Away;1st Half;7;30-35;Normal Time;88754;Geoffrey Kondogbia;4;1;2017;Season 2017/2018;;;t191;Valencia CF;;Home;Middle;Left;Any pass attempted from one player to another - free kicks, corners, throw-ins, goal kicks and goal assists;1;Pass;1212916151;1,52E+12;Left;;;;;;;;;0,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,4;;;;;31;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;1;1;;;;;;;;1;1;;1;1;;1;1;;1;;0,665;0,877;;;;;;;;;;;;;;;;;;;;;;;;;;53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0,574;0,699;;Ejemplo final
;4;t186;Real Madrid;23;Spanish La Liga;27/01/2018 15:46;;262;f24-23-2017-943000-eventdetails;;;628;1;First half;1;t191;Valencia CF;;;;;;27/01/2018;21;g943000;2018-01-27 Valencia CF v Real Madrid;15:15:00;;t186;Real Madrid;Away;1st Half;7;30-35;Normal Time;132105;JosÌ© Luis GayÌÁ PeÌ±a;4;1;2017;Season 2017/2018;;;t191;Valencia CF;;Home;Middle;Left;Any pass attempted from one player to another - free kicks, corners, throw-ins, goal kicks and goal assists;1;Pass;1681901605;1,52E+12;Left;;;;;;;;;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;30;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;1;1;;;;;;;;1;1;;1;1;;1;1;;1;;0,794;0,933;;;;;;;;;;;;;;;;;;;;;;;;;;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0,631;0,781;;Ejemplo final
;4;t186;Real Madrid;23;Spanish La Liga;27/01/2018 15:56;;335;f24-23-2017-943000-eventdetails;;;800;1;First half;1;t191;Valencia CF;;;;;;27/01/2018;21;g943000;2018-01-27 Valencia CF v Real Madrid;15:15:00;;t186;Real Madrid;Away;1st Half;9;40-45;Normal Time;80954;Rodrigo Moreno Machado;4;1;2017;Season 2017/2018;;;t191;Valencia CF;;Home;Middle;Left;Any pass attempted from one player to another - free kicks, corners, throw-ins, goal kicks and goal assists;1;Pass;1735033584;1,52E+12;Left;;;;;;;;;0,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16,4;;;;;40;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;1;1;;;;;;;;1;1;;1;1;;1;1;;1;;0,755;0,896;;;;;;;;;;;;;;;;;;;;;;;;;;53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0,64;0,732;;Ejemplo final
;4;t186;Real Madrid;23;Spanish La Liga;27/01/2018 15:39;;207;f24-23-2017-943000-eventdetails;;;483;1;First half;1;t191;Valencia CF;;;;;;27/01/2018;21;g943000;2018-01-27 Valencia CF v Real Madrid;15:15:00;;t186;Real Madrid;Away;1st Half;5;20-25;Normal Time;86153;MartÌZn Montoya;4;1;2017;Season 2017/2018;;;t191;Valencia CF;;Home;Middle;Right;Any pass attempted from one player to another - free kicks, corners, throw-ins, goal kicks and goal assists;1;Pass;1548851547;1,52E+12;Center;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16,7;;;;;23;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;1;1;;;;;;;;1;1;;1;1;;1;1;;1;;0,55;0,448;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0,469;0,237;;Ejemplo final
;4;t186;Real Madrid;23;Spanish La Liga;27/01/2018 15:33;;155;f24-23-2017-943000-eventdetails;;;355;1;First half;1;t191;Valencia CF;;;;;;27/01/2018;21;g943000;2018-01-27 Valencia CF v Real Madrid;15:15:00;;t186;Real Madrid;Away;1st Half;4;15-20;Normal Time;28525;Ezequiel Garay;4;1;2017;Season 2017/2018;;;t191;Valencia CF;;Home;Defending;Central;Any pass attempted from one player to another - free kicks, corners, throw-ins, goal kicks and goal assists;1;Pass;1194231582;1,52E+12;Back;;;;;;;;;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,9;;;;;18;;;;;;;;;;;;;;1;;;;;1;;;;;;;1;1;;;;;;;;;;;;;;1;1;;1;1;;1;;0,31;0,717;;;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0,233;0,482;;Ejemplo final
;4;t186;Real Madrid;23;Spanish La Liga;27/01/2018 15:33;;153;f24-23-2017-943000-eventdetails;;;352;1;First half;1;t191;Valencia CF;;;;;;27/01/2018;21;g943000;2018-01-27 Valencia CF v Real Madrid;15:15:00;;t186;Real Madrid;Away;1st Half;4;15-20;Normal Time;88754;Geoffrey Kondogbia;4;1;2017;Season 2017/2018;;;t191;Valencia CF;;Home;Defending;Central;Any pass attempted from one player to another - free kicks, corners, throw-ins, goal kicks and goal assists;1;Pass;2114603215;1,52E+12;Back;;;;;;;;;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13,9;;;;;18;;;;;;;;;;;;;;1;;;;;1;;;;;;;1;1;;;;;;;;;;;;;;1;1;;1;1;;1;;0,365;0,702;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0,309;0,516;;Ejemplo final
;4;t186;Real Madrid;23;Spanish La Liga;27/01/2018 15:37;;191;f24-23-2017-943000-eventdetails;;;431;1;First half;1;t191;Valencia CF;;;;;;27/01/2018;21;g943000;2018-01-27 Valencia CF v Real Madrid;15:15:00;;t186;Real Madrid;Away;1st Half;5;20-25;Normal Time;28525;Ezequiel Garay;4;1;2017;Season 2017/2018;;;t191;Valencia CF;;Home;Defending;Central;Any pass attempted from one player to another - free kicks, corners, throw-ins, goal kicks and goal assists;1;Pass;1412637798;1,52E+12;Back;;;;;;;;;1,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22,5;;;;;22;;;;;;;;;;;;;;1;;;;;1;;;;;;;1;1;;;;;;;;;;;;;;1;1;;1;1;;1;;0,316;0,688;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0,237;0,38;;Ejemplo final
